# Fix print output for fix extra
0.001250000000000000026 0.00012500000000000002971 32000.849999435282371 0.86423740840566987131 0.00010685056606045225031 1
0.002500000000000000052 0.00012500000000000002971 32000.849997745623114 0.8774287403854338363 0.00010734065414484435642 1
0.0037499999999999998612 0.00012500000000000002971 32000.849994940414035 0.8893169366991928726 0.00010784364212573647112 1
0.0050000000000000001041 0.00012500000000000002971 32000.849991031704121 0.90003081841481291647 0.00010835935106191472435 1
0.0062500000000000003469 0.00012500000000000002971 32000.849986035573238 0.90968648489119685596 0.00010888751641635252749 1
0.0074999999999999997224 0.00012500000000000002971 32000.849979972197616 0.91838856807933522131 0.00010942774872639152238 1
0.0087500000000000008327 0.00012500000000000002971 32000.849972865577001 0.92623136335238531736 0.00010997979883022769988 1
0.010000000000000000208 0.00012500000000000002971 32000.849964743436431 0.93329984904704477167 0.00011054336407530910061 1
0.011249999999999999584 0.00012500000000000002971 32000.84995563697521 0.93967060571836502625 0.00011111813171390619586 1
0.012500000000000000694 0.00012500000000000002971 32000.849945580783242 0.94541264488404896937 0.00011170375552941623552 1
0.013750000000000000069 0.00012500000000000002971 32000.849934612630022 0.95058815614094616109 0.00011229990881643186324 1
0.014999999999999999445 0.00012500000000000002971 32000.849922773177241 0.95525318067499309649 0.00011290625291298531996 1
0.016250000000000000555 0.00012500000000000002971 32000.84991010585145 0.95945821842234213506 0.00011352241423351835145 1
0.017500000000000001665 0.00012500000000000002971 32000.84989665660396 0.96324877538142128497 0.00011414801216928164695 1
0.018749999999999999306 0.00012500000000000002971 32000.849882473634352 0.96666585695477336149 0.00011478265349788160867 1
0.020000000000000000416 0.00012500000000000002971 32000.84986760719039 0.96974641263808059044 0.00011542593286024749105 1
0.021250000000000001527 0.00012500000000000002971 32000.849852109269705 0.97252373684111637075 0.00011607743327603558061 1
0.022499999999999999167 0.00012500000000000002971 32000.849836033419706 0.97502783015810001732 0.00011673672669753306968 1
0.023750000000000000278 0.00012500000000000002971 32000.849819434384699 0.97728572498122823209 0.00011740337480622019988 1
0.025000000000000001388 0.00012500000000000002971 32000.849802367985831 0.97932177896919248017 0.00011807692895470464926 1
0.026249999999999999029 0.00012500000000000002971 32000.849784890720912 0.98115793953729635302 0.00011875693162943012156 1
0.027500000000000000139 0.00012500000000000002971 32000.849767060753948 0.98281398270370834425 0.00011944007900557964763 1
0.028750000000000001249 0.00012500000000000002971 32000.849748936492688 0.98430772722273451869 0.00012012959169750322388 1
0.02999999999999999889 0.00012500000000000002971 32000.849730574587738 0.98565522785004588968 0.00012082408851563604456 1
0.03125 0.00012500000000000002971 32000.849712031944364 0.98687095050440376554 0.00012152305057347434492 1
0.03250000000000000111 0.00012500000000000002971 32000.849693365013081 0.98796792933838473161 0.00012222597236248019604 1
0.03375000000000000222 0.00012500000000000002971 32000.849674629498622 0.98895790839720798537 0.00012293237025285563184 1
0.035000000000000003331 0.00012500000000000002971 32000.84965588018531 0.98985146928519240905 0.00012364173766808478263 1
0.036249999999999997502 0.00012500000000000002971 32000.849637170780625 0.99065814621324943534 0.00012435356320923037225 1
0.037499999999999998612 0.00012500000000000002971 32000.849618553689652 0.99138652968566531865 0.00012506723237690352724 1
0.038749999999999999722 0.00012500000000000002971 32000.849600079985976 0.992044359915401186 0.00012578215738284401724 1
0.040000000000000000833 0.00012500000000000002971 32000.849581799022417 0.99263861090955174404 0.00012649805103712741272 1
0.041250000000000001943 0.00012500000000000002971 32000.84956375836191 0.99317556631861170224 0.00012721433031845914125 1
0.042500000000000003053 0.00012500000000000002971 32000.849546003923024 0.99366088794105433823 0.00012793016333459899603 1
0.043750000000000004163 0.00012500000000000002971 32000.849528579768958 0.9940996772531661696 0.00012864502193022644624 1
0.044999999999999998335 0.00012500000000000002971 32000.84951152773283 0.99449653062071052823 0.00012935884831141337427 1
0.046249999999999999445 0.00012500000000000002971 32000.849494887061155 0.99485558936976936639 0.00013007094032972186365 1
0.047500000000000000555 0.00012500000000000002971 32000.849478694937716 0.99518058496451222705 0.0001307808368459121651 1
0.048750000000000001665 0.00012500000000000002971 32000.849462986203434 0.99547487953809221661 0.00013148795782454985475 1
0.050000000000000002776 0.00012500000000000002971 32000.84944779338548 0.99574150244890369255 0.00013219188587392194335 1
0.051250000000000003886 0.00012500000000000002971 32000.849433146577212 0.99598318321643064532 0.00013289208926846231978 1
0.052499999999999998057 0.00012500000000000002971 32000.849419073419995 0.99620238121594117953 0.0001335880945837445051 1
0.053749999999999999167 0.00012500000000000002971 32000.849405599205056 0.99640131241152851693 0.00013427942916843465626 1
0.055000000000000000278 0.00012500000000000002971 32000.849392746760714 0.99658197345204047046 0.00013496562975041267161 1
0.056250000000000001388 0.00012500000000000002971 32000.849380536521494 0.9967461633829342027 0.00013564622357292103593 1
0.057500000000000002498 0.00012500000000000002971 32000.849368986484478 0.9968955031947487333 0.00013632083466331510325 1
0.058750000000000003608 0.00012500000000000002971 32000.849358112332993 0.9970314534539885809 0.0001369889702097652534 1
0.05999999999999999778 0.00012500000000000002971 32000.849347927389317 0.99715533019016733274 0.00013765022241865652961 1
0.06124999999999999889 0.00012500000000000002971 32000.849338442720182 0.99726831919153335893 0.00013830418124949697429 1
0.0625 0.00012500000000000002971 32000.849329667144048 0.99737148889788973527 0.00013895044815027658919 1
0.06375000000000000111 0.00012500000000000002971 32000.849321607376623 0.99746580205205459535 0.0001395883634300100506 1
0.06500000000000000222 0.00012500000000000002971 32000.849314267899899 0.99755212607824828019 0.00014021814870267867493 1
